Country,Region,Population,Area,Pop. Density,Infant mortality (per 1000 births),GDP ($ per capita),Birthrate,Deathrate
Senegal,SUB-SAHARAN AFRICA,11987121,196190,61.1,55.51,1600,32.78,9.42
Vanuatu,OCEANIA,208869,12200,17.1,55.16,2900,22.72,7.82
Botswana,SUB-SAHARAN AFRICA,1639833,600370,2.7,54.58,9000,23.08,29.5
Mongolia,ASIA,2832224,1564116,1.8,53.79,1800,21.59,6.95
Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.3,53.64,5500,36.16,12.25
Bolivia,LATIN AMER. & CARIB,8989046,1098580,8.2,53.11,2400,23.3,7.53
Papua New Guinea,OCEANIA,5670544,462840,12.3,51.45,2200,29.36,7.25
Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.6,51.43,2200,30.52,9.72
Iraq,NEAR EAST,26783383,437072,61.3,50.25,1500,31.98,5.37
Namibia,SUB-SAHARAN AFRICA,2044147,825418,2.5,48.98,7200,24.32,18.86
Kiribati,OCEANIA,105432,811,130,48.52,800,30.65,8.26
Cape Verde,SUB-SAHARAN AFRICA,420979,4033,104.4,47.77,1400,24.87,6.55
East Timor,ASIA,1062777,15007,70.8,47.41,500,26.99,6.24
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,193.2,43.11,1200,40.25,6.47
Morocco,NORTHERN AFRICA,33241259,446550,74.4,41.62,4000,21.98,5.58
Iran,ASIA,68688433,1648000,41.7,41.58,7000,17,5.55
Turkey,NEAR EAST,70413958,780580,90.2,41.04,6700,16.62,5.97
Moldova,C.W. OF IND. STATES,4466706,33843,132,40.42,1800,15.7,12.64
Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,35.93,4100,29.88,5.2
Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,26.3,35.64,1600,22.8,7.08
Indonesia,ASIA,245452739,1919440,127.9,35.6,3200,20.34,6.25
Guyana,LATIN AMER. & CARIB,767245,214970,3.6,33.26,4000,18.28,8.28
Egypt,NORTHERN AFRICA,78887007,1001450,78.8,32.59,4000,22.94,5.23
Dominican Republic,LATIN AMER. & CARIB,9183984,48730,188.5,32.38,6000,23.22,5.73
Peru,LATIN AMER. & CARIB,28302603,1285220,22,31.94,5100,20.48,6.23
Algeria,NORTHERN AFRICA,32930091,2381740,13.8,31,6000,17.14,4.61
Micronesia. Fed. St.,OCEANIA,108004,702,153.9,30.21,2000,24.68,4.75
Brazil,LATIN AMER. & CARIB,188078227,8511965,22.1,29.61,7600,16.56,6.17
